fx_id,source_name,canonical_name,stage,score,fx_equipment,target_equipment,equipment_conflict,fx_category,mapped_category,target_category,category_conflict,already_known_alias,reason
Smith_Machine_Close-Grip_Bench_Press,Smith Machine Close-Grip Bench Press,Close Grip Bench Press,qualifier,,machine,barbell,yes,strength,compound,compound,,,equipment_conflict
Smith_Machine_Incline_Bench_Press,Smith Machine Incline Bench Press,Incline Bench Press,qualifier,,machine,barbell,yes,strength,compound,compound,,,equipment_conflict
Smith_Machine_One-Arm_Upright_Row,Smith Machine One-Arm Upright Row,Upright Row,variant,,machine,barbell,yes,strength,compound,compound,,,equipment_conflict
Smith_Machine_Squat,Smith Machine Squat,Squat,qualifier,,machine,barbell,yes,strength,compound,compound,,,equipment_conflict
Smith_Machine_Upright_Row,Smith Machine Upright Row,Upright Row,qualifier,,machine,barbell,yes,strength,compound,compound,,,equipment_conflict
Smith_Single-Leg_Split_Squat,Smith Single-Leg Split Squat,Bulgarian Split Squat,variant,,machine,dumbbell,yes,strength,compound,compound,,,equipment_conflict
Split_Squats,Split Squats,Bulgarian Split Squat,fuzzy,1.000,,dumbbell,,stretching,mobility,compound,yes,,category_conflict
Standing_Barbell_Calf_Raise,Standing Barbell Calf Raise,Calf Raise,qualifier,,barbell,machine,yes,strength,isolation,isolation,,,equipment_conflict
Standing_Dumbbell_Calf_Raise,Standing Dumbbell Calf Raise,Calf Raise,qualifier,,dumbbell,machine,yes,strength,isolation,isolation,,,equipment_conflict
Standing_Dumbbell_Press,Standing Dumbbell Press,OHP,qualifier,,dumbbell,barbell,yes,strength,compound,compound,,,equipment_conflict
Standing_Dumbbell_Reverse_Curl,Standing Dumbbell Reverse Curl,Reverse Curl,variant,,dumbbell,barbell,yes,strength,isolation,isolation,,,equipment_conflict
Standing_Dumbbell_Upright_Row,Standing Dumbbell Upright Row,Upright Row,variant,,dumbbell,barbell,yes,strength,compound,compound,,,equipment_conflict
Two-Arm_Dumbbell_Preacher_Curl,Two-Arm Dumbbell Preacher Curl,Preacher Curl,variant,,dumbbell,barbell,yes,strength,isolation,isolation,,,equipment_conflict
Two-Arm_Kettlebell_Military_Press,Two-Arm Kettlebell Military Press,OHP,variant,,kettlebells,barbell,,strength,compound,compound,,,kettlebell_no_wodl_equipment
Upright_Cable_Row,Upright Cable Row,Upright Row,qualifier,,cable,barbell,yes,strength,compound,compound,,,equipment_conflict
Upright_Row_-_With_Bands,Upright Row - With Bands,Upright Row,variant,,bands,barbell,yes,strength,compound,compound,,,equipment_conflict
Weighted_Jump_Squat,Weighted Jump Squat,Jump Squat,qualifier,,barbell,bodyweight,yes,strength,compound,plyometric,yes,,"equipment_conflict,category_conflict"
Weighted_Sit-Ups_-_With_Bands,Weighted Sit-Ups - With Bands,Sit-up,variant,,other,bodyweight,yes,strength,isolation,isolation,,,equipment_conflict
Weighted_Squat,Weighted Squat,Squat,qualifier,,other,barbell,yes,strength,compound,compound,,,equipment_conflict
